p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,8.86289041065756,0.89,0.115,0,Erythrocytes,HBA2
0,8.36100895568476,0.874,0.05,0,Erythrocytes,HBA1
0,6.36619613280425,0.969,0.201,0,Lymphatic endothelial cells,CCL21
0,5.53391808305696,0.919,0.027,0,Melanocytes,DCT
0,5.25631095943898,0.997,0.085,0,Lymphatic endothelial cells,TFF3
0,4.86792044607525,0.886,0.029,0,Melanocytes,TYRP1
0,4.65418693075844,0.961,0.154,0,Pericytes,TAGLN
0,4.58090917174453,0.902,0.028,0,Melanocytes,MLANA
0,4.54178336191953,0.883,0.102,0,Macrophages,LYZ
0,4.29303687840149,0.721,0.096,0,Vascular endothelial cells,SELE
0,4.28606381442993,0.854,0.109,0,Pericytes,ACTA2
0,4.24260680885446,0.941,0.073,0,Keratincytes,LGALS7B
0,4.05496239400765,0.78,0.021,0,Melanocytes,PMEL
0,4.02430302417489,0.954,0.137,0,Macrophages,HLA-DQA1
0,3.8755113817763,0.868,0.165,0,Pericytes,TPM2
0,3.87057668668081,0.787,0.004,0,Erythrocytes,HBD
0,3.86604360150763,0.959,0.2,0,Macrophages,HLA-DQB1
0,3.82638065178295,0.653,0.093,0,Keratincytes,KRTDAP
0,3.75568288210689,0.726,0.048,0,Macrophages,RP11-1143G9.4
0,3.6250837741056,0.934,0.243,0,Pericytes,MYL9
0,3.58552974151077,0.813,0.136,0,Vascular endothelial cells,DARC
0,3.51409877498201,0.91,0.218,0,Macrophages,HLA-DRB5
0,3.46180900386093,0.643,0.116,0,Macrophages,C15orf48
0,3.41520963737776,0.858,0.183,0,Keratincytes,LY6D
0,3.38596300815451,0.491,0.04,0,Pericytes,RGS5
0,3.37878974334526,0.855,0.162,0,Macrophages,GPR183
0,3.35970467343157,0.889,0.112,0,Macrophages,TYROBP
0,3.35118095285425,0.953,0.23,0,Keratincytes,S100A14
0,3.32882899733252,0.7,0.07,0,Macrophages,FCER1A
0,3.30406061466726,0.871,0.164,0,T-cells,CD52
0,3.25781631151046,0.816,0.23,0,Fibroblasts,LUM
0,3.25756788236814,0.797,0.127,0,Keratincytes,SERPINB2
0,3.25334584151987,0.93,0.176,0,Keratincytes,AQP3
0,3.2257397707311,0.557,0.11,0,Pericytes,MT1A
0,3.16735973229637,0.918,0.129,0,Lymphatic endothelial cells,CLDN5
0,3.13138114149685,0.847,0.018,0,Lymphatic endothelial cells,MMRN1
0,3.10829586156779,0.692,0.208,0,Fibroblasts,SFRP2
0,3.06256193396323,0.913,0.137,0,Keratincytes,MIR205HG
0,3.05569668070142,0.818,0.093,0,Macrophages,FCER1G
0,3.03021130262634,0.555,0.057,0,Macrophages,IL1B
0,3.02042580000058,0.628,0.063,0,T-cells,CD69
0,2.98097994032431,0.76,0.075,0,Macrophages,AIF1
0,2.91731042782748,0.597,0.162,0,Fibroblasts,TNFAIP6
0,2.91627139018015,0.764,0.019,0,Melanocytes,CAPN3
0,2.90512952280787,0.706,0.048,0,T-cells,CD3D
0,2.90242949631527,0.702,0.147,0,Macrophages,SERPINB9
0,2.8694202799774,0.893,0.136,0,Keratincytes,DSP
0,2.85127025515266,0.776,0.07,0,Macrophages,LST1
0,2.83946922454276,0.781,0.246,0,Fibroblasts,MMP2
0,2.81875240677212,0.753,0.145,0,Keratincytes,LYPD3
1.13793358805571e-174,2.80873978478668,0.837,0.096,2.42971579721654e-170,Melanocytes,MITF
4.77774184982401e-295,2.79681322183071,0.942,0.193,1.02014343977442e-290,Lymphatic endothelial cells,TFPI
0,2.78769902192327,0.842,0.053,0,Keratincytes,CCL27
0,2.78388368365958,0.646,0.051,0,Lymphatic endothelial cells,FABP4
0,2.7790753978467,0.437,0.174,0,Fibroblasts,PTGDS
0,2.77554577225537,0.561,0.03,0,Pericytes,MYH11
0,2.77491657593776,0.907,0.197,0,Vascular endothelial cells,SPARCL1
0,2.77406680033418,0.915,0.174,0,Keratincytes,TACSTD2
0,2.76663252745329,0.753,0.126,0,Macrophages,CD83
0,2.75059249855074,0.89,0.098,0,Keratincytes,SERPINB5
0,2.74764321794627,0.813,0.03,0,Melanocytes,PLP1
0,2.7315410516543,0.709,0.041,0,Macrophages,LGALS2
1.73918568443552e-217,2.70169838062645,0.535,0.196,3.71350927340673e-213,Pericytes,IL6
0,2.69389799255362,0.807,0.199,0,Vascular endothelial cells,SPRY1
0,2.68401514450503,0.566,0.066,0,Macrophages,HLA-DQA2
0,2.66974876804917,0.647,0.04,0,T-cells,PTPRCAP
0,2.66800622653657,0.735,0.25,0,Fibroblasts,IGFBP5
0,2.66505887159181,0.29,0.03,0,T-cells,CCL5
0,2.66113564198314,0.544,0.059,0,T-cells,LTB
0,2.6478703888626,0.68,0.159,0,T-cells,CXCR4
0,2.63776694046276,0.719,0.137,0,Keratincytes,KRT16
0,2.59384738313816,0.689,0.1,0,Macrophages,IL1R2
0,2.58298171793855,0.678,0.132,0,Pericytes,ID4
0,2.57899550583908,0.81,0.247,0,Macrophages,PLAUR
0,2.56950682948675,0.775,0.193,0,Fibroblasts,CCDC80
0,2.56585757735649,0.744,0.17,0,Fibroblasts,CTSK
0,2.5315765771607,0.492,0.07,0,Vascular endothelial cells,CSF3
0,2.52553190642853,0.628,0.061,0,Macrophages,AGPAT9
0,2.51694530754942,0.707,0.169,0,Vascular endothelial cells,RCAN1
0,2.51605749385779,0.82,0.161,0,Macrophages,HLA-DMA
0,2.50573719903892,0.669,0.213,0,Fibroblasts,CXCL12
5.88436813144841e-222,2.49999771723145,0.813,0.069,1.25643028342686e-217,Melanocytes,GPM6B
0,2.49967754194022,0.765,0.104,0,Keratincytes,FGFBP1
0,2.48825763402014,0.67,0.012,0,Lymphatic endothelial cells,LYVE1
2.42746998728827e-285,2.47598115109183,0.371,0.159,5.18313391685791e-281,Fibroblasts,SLPI
0,2.47586572070797,0.708,0.153,0,Fibroblasts,MFAP4
0,2.46198496092728,0.488,0.055,0,Keratincytes,AREG
0,2.46158899099787,0.598,0.036,0,Vascular endothelial cells,SOX17
0,2.44281889920373,0.291,0.029,0,T-cells,KLRB1
0,2.41678820266394,0.66,0.18,0,Pericytes,CRISPLD2
0,2.41471428789581,0.721,0.149,0,Keratincytes,RNF144B
0,2.39871861068473,0.799,0.23,0,T-cells,ARHGDIB
0,2.39560727586532,0.551,0.046,0,Macrophages,HLA-DQB2
0,2.3821169074954,0.724,0.03,0,Lymphatic endothelial cells,PROX1
0,2.38051680223633,0.622,0.084,0,Pericytes,MYLK
0,2.37161420591439,0.752,0.182,0,Fibroblasts,C1S
0,2.36470431113138,0.544,0.234,0,Fibroblasts,IGFBP6
4.26271404878078e-177,2.35342762631556,0.805,0.084,9.10174703695672e-173,Melanocytes,C4orf48
0,2.34887447418147,0.531,0.114,0,Pericytes,NDUFA4L2
0,2.33752040687725,0.49,0.011,0,Keratincytes,LGALS7
0,2.33437541200161,0.789,0.095,0,Lymphatic endothelial cells,ECSCR
0,2.33122885264991,0.733,0.051,0,Vascular endothelial cells,AC011526.1
0,2.32993228317604,0.525,0.042,0,Pericytes,ADRA2A
0,2.32774877266225,0.399,0.056,0,Vascular endothelial cells,STC1
0,2.32217753716457,0.589,0.035,0,Macrophages,CLEC10A
0,2.28240574335593,0.674,0.21,0,T-cells,DUSP2
0,2.27801557440708,0.369,0.012,0,Pericytes,RERGL
0,2.27120384672316,0.659,0.114,0,Fibroblasts,VCAN
1.04990592957376e-254,2.26238911465254,0.793,0.133,2.24175914082589e-250,Lymphatic endothelial cells,SNCG
0,2.25765510136732,0.702,0.057,0,Vascular endothelial cells,MCTP1
0,2.24553635585288,0.43,0.03,0,Pericytes,GJA4
0,2.2400649533285,0.634,0.092,0,T-cells,PTPRC
