p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.31981670796642e-70,16.8010283427193,0.902,0.038,6.5990835398321e-67,Melanocytes,GPR143
0,15.5048672223155,0.952,0.021,0,Macrophages,AIF1
1.10378871448132e-68,14.415495202652,0.935,0.206,5.51894357240658e-65,Melanocytes,CYB561A3
3.58421320162995e-66,14.1139789656197,0.911,0.177,1.79210660081498e-62,Melanocytes,GMPR
4.84855119541054e-75,13.5403650734055,0.959,0.015,2.42427559770527e-71,Melanocytes,DCT
0,13.4282307791808,0.926,0.014,0,Vascular endothelial cells,PLVAP
0,13.3960951243883,0.896,0.013,0,T-cells,CD2
0,13.3654480101009,0.858,0.019,0,Macrophages,MMP9
1.14966213235855e-75,13.358959224196,0.935,0.068,5.74831066179275e-72,Melanocytes,BCAN
0,13.2284897403718,0.903,0.012,0,Macrophages,IL1B
0,12.9033010698149,0.951,0.028,0,Vascular endothelial cells,RAMP3
0,12.7197527449885,0.808,0.088,0,Myofibroblasts,PPP1R14A
0,12.6938076870501,0.899,0.011,0,Macrophages,MS4A6A
0,12.625367454758,0.851,0.01,0,T-cells,CD3D
0,12.304472970485,0.968,0.034,0,Vascular endothelial cells,PECAM1
0,12.2820255446539,0.907,0.03,0,Macrophages,LST1
8.73546752740153e-219,12.2425030595006,0.762,0.015,4.36773376370077e-215,Macrophages,C1QB
2.32802878224431e-55,12.1491849123879,0.862,0.219,1.16401439112215e-51,Melanocytes,C4orf48
0,12.127010072517,0.984,0.016,0,Vascular endothelial cells,CLDN5
1.11279573689713e-58,12.1238116676689,0.829,0.079,5.56397868448566e-55,Melanocytes,KIT
7.04376325997948e-201,12.0643197893581,0.586,0.016,3.52188162998974e-197,Macrophages,CD1C
0,12.0331961837384,0.773,0.008,0,Fibroblasts,MMP2
1.68673556836593e-114,11.8943886342838,0.932,0.05,8.43367784182964e-111,Neural cells,NRXN1
0,11.8139629573748,0.845,0.033,0,Fibroblasts,COL1A2
0,11.7383469973907,0.622,0.013,0,Myofibroblasts,MYH11
