X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,2.29e-44,9.692428882,0.358,0.157,5.41e-40,Sweat gland cells,DCD
2,2.67e-187,7.454175077,0.321,0.042,6.31e-183,Sweat gland cells,MUCL1
3,0,7.075699927,0.986,0.046,0,Lymphatic endothelial cells,CCL21
4,8.13e-211,6.847807165,0.317,0.037,1.92e-206,Sweat gland cells,SCGB2A2
5,2.34e-302,6.820269686,0.323,0.027,5.54e-298,Sweat gland cells,PIP
6,0,6.140797566,1,0.004,0,Melanocytes,DCT
7,0,5.950629461,0.989,0.003,0,Melanocytes,TYRP1
8,0,5.939779768,0.994,0.022,0,Melanocytes,PMEL
9,0,5.890019962,0.321,0.021,0,Sweat gland cells,SCGB1B2P
10,0,5.787974293,0.722,0.098,0,Keratinocytes,KRT14
11,0,5.736814896,0.985,0.127,0,Keratinocytes,SFN
12,0,5.235412524,1,0.002,0,Melanocytes,MLANA
13,0,5.233424673,0.996,0.008,0,Lymphatic endothelial cells,TFF3
14,0,5.163303883,0.859,0.176,0,Immune cells,CXCL8
15,0,5.063728895,0.708,0.129,0,Fibroblasts,PTGDS
16,0,4.898533497,0.685,0.062,0,Keratinocytes,KRT1
17,0,4.878686241,0.68,0.052,0,Keratinocytes,KRTDAP
18,0,4.86049633,0.606,0.011,0,Immune cells,IL1B
19,0,4.857321205,0.858,0.072,0,Keratinocytes,DMKN
20,0,4.721249688,0.849,0.008,0,Immune cells,LYZ
21,0,4.715106255,0.305,0.011,0,Sweat gland cells,SCGB1D2
22,0,4.620388235,0.711,0.057,0,Vascular endothelial cells,SELE
23,0,4.564295644,0.513,0.013,0,Immune cells,CCL3
24,0,4.52193822,0.983,0.014,0,Neural cells,S100B
25,0,4.50652887,0.837,0.095,0,Fibroblasts,SFRP2
26,0,4.407819798,0.707,0.039,0,Keratinocytes,KRT5
27,0,4.337167683,0.742,0.07,0,Keratinocytes,S100A2
28,0,4.334931946,0.97,0.198,0,Smooth muscle cells,TAGLN
29,0,4.328220111,0.838,0.057,0,Vascular endothelial cells,ACKR1
30,0,4.280454321,0.821,0.171,0,Fibroblasts,APOD
31,0,4.274038839,0.466,0.009,0,Immune cells,CCL3L1
32,0,4.232730556,0.774,0.027,0,Smooth muscle cells,RGS5
33,0,4.21426893,0.985,0.245,0,Fibroblasts,CCDC80
34,0,4.174627519,0.939,0.113,0,Fibroblasts,FBLN1
35,0,4.15429938,0.973,0.246,0,Immune cells,HLA-DQB1
36,0,4.036068773,0.976,0.188,0,Immune cells,HLA-DQA1
37,0,4.029764274,0.942,0.136,0,Fibroblasts,LUM
38,0,3.997785009,0.376,0.006,0,Immune cells,CCL4
39,0,3.968761765,0.919,0.022,0,Immune cells,GPR183
40,4.92e-277,3.834538246,0.978,0.15,1.16e-272,Melanocytes,MITF
41,8.15e-292,3.809862181,0.989,0.146,1.92e-287,Melanocytes,MFSD12
42,0,3.807712962,0.895,0.014,0,Keratinocytes,LGALS7
