"","Rambow_2018_Mitosis","Rambow_2018_Pigmentation","Rambow_2018_Invasion","Rambow_2018_Neuro","Rambow_2018_MITF_Targets","Rambow_2018_Hypometabolic","Kauffmann_2008_DNA_Repair","Kauffmann_2008_DNA_Replication","Tirosh_2016_AXL","Widmer_2012_Invasive","Widmer_2012_Proliferative","Jeffs_2009_Invasive","Jeffs_2009_Proliferation","Verfaillie_2015_TEAD_Targets","Verfaillie_2015_Invasive","Verfaillie_2015_Proliferative","McNeal_2021_PMA","McNeal_2021_EDN1","Tirosh_2016_MITF","Hoek_2008_MITF_Targets","Tsoi_2018_Undifferentiated","Tsoi_2018_Neural_Crest","Tsoi_2018_Transitory","Tsoi_2018_Melanocytic","Ryu_2011_BRAFV600E_Targets","Belote_2021_Vmel","Belote_2021_Cmel","Andrews_2022_MEL","Andrews_2022_MES","Andrews_2022_NPLAS_Up","Andrews_2022_NPLAS_Down","Belote_2021_ADT","Belote_2021_MSC","Riesenberg_2015_TNF_Response","Wouters_2020_Intermediate","Wouters_2020_Mesenchymal","Wouters_2020_Melanocytic","Hoek_2006_Proliferative","Hoek_2006_Invasive"
"1","ANLN","SNAI2","VCAN","SEMA3B","MDH1","PKM","ABL1","ABCF2","ANGPTL4","ADAM12","ACP5","HIF1A","MLANA","ABCC3","MXRA5","MAD2L1BP","AL359704.2","LRRC15","MITF","CAPN3","AJUBA","PXYLP1","XYLT1","CCDC171","MMP1","NTRK2","AKAP12","ACP5","ABCC3","ABCC3","FOSL2","CD59","MFAP5","NCEH1","NELL1","CPA4","BCL2L13","AP1S2","ABCC3"
"2","TACC3","RAB27A","TNC","IGF1","SRCIN1","TYR","ADPRT","ACHE","FSTL3","AMOTL2","ADCY2","LOC57228","DCT","AC098614.2","GABRE","TXN2","ICOS","GFRA2","TYR","MLANA","TOR4A","CXCL8","TSPAN7","CFAP61","SERPINB2","ID2","MCOLN3","AP1S2","ADAM12","ADAM12","KCNAB2","APOD","RGMA","ABTB1","LRRC61","F2RL2","SLC5A6","APOC1","ADAM12"
"3","SPAG5","TYR","BCAT1","ATP1A2","SNAI2","PGM1","ADPRTL1","BLM","GPC1","AXL","APOE","IFT57","TYRP1","AMPD3","DDX3Y","ADAM10","SLC38A8","ACTC1","PMEL","SILV","MARCH4","CEMIP","SOD3","ZDHHC11B","AREG","ID3","ASAH1","APOE","ADAM19","ADAM19","PIK3CD","MT2A","LOX","ACOT7","ITIH6","CTD-2171N6.1","LIG3","APOE","AMIGO2"
"4","NDC80","GPR143","FOSL2","VCAN","PLEKHB1","PHGDH","ADPRTL2","BRCA1","TMSB10","BIRC3","ASAH1","CSRP1","SILV","ANKRD29","VCAM1","NAGA","PAEPP1","COL5A1","PLP1","TYR","ZDHHC2","TCAF2","SCRG1","VEPH1","TFPI2","RAB3B","SLITRK2","APOLD1","ADAMTS12","ADAMTS12","PLEKHA5","CYB561A3","DNAJB4","ADAMTS1","ZBED6CL","PLAU","DGCR6L","BCL2A1","ARK5"
"5","TPX2","TYRP1","UNC5B","NGFR","DEPDC1","PGK1","ADPRTL3","CCL2","SH3BGRL3","CDH13","BIRC7","IQCG","RHBDF1","AOX1","POSTN","ACO2","AC027130.1","SLITRK6","GPR143","TNFRSF14","ZNF467","ZNF469","SORL1","TNFRSF14","STC1","NAV2","IFITM3","ASAH1","ADAMTS6","ADAMTS6","SLC16A6","HLA-A","DKK1","ADAMTS5","ENPP4","EDN1","EEF1A1P11","CAPN3","AXL"
"6","BIRC5","MLPH","CCL2","ITGA6","CD44","TUSC3","ALKBH","CCL3","PLAUR","CDK14","C21orf91","ERRFI1","TYR","ARL4D","CD248","MT-CO1","RFPL2","KRT7","MLANA","RBM35A","ZNF185","WNT5A","SEMA3E","TDRD3","CXCL5","MEG3","APOE","BCL2A1","AFAP1","AFAP1","ZNF703","HLA-E","MAST4","ADAMTS9","CSPG4","SLC14A1","REPS1","CART1","BGN"
"7","KIF4A","MLANA","COL1A1","SLC22A17","ANKS1A","GAPDH","APEX1","CCL4","NGFR","COL13A1","CAPN3","RP11-388M20","GPR143","ARMC4","ABCC3","TRUB1","GPRC5B","TMEM47","STX7","GALNT3","ZIC2","TMEM47","SELENBP1","TPPP","RAP1A","IGDCC4","APCDD1","BEST1","AKR1C3","AKR1C3","","HLA-C","CDAN1","ADAP1","ZNF702P","MXRA5","LRPPRC","CDK5R1","CDH13"
"8","CDKN3","APOE","SH2B3","PDGFB","ERBB3","LDHB","APEX2","CD209","SEC14L2","CRIM1","CDH1","VCAN","MITF","ATP8B1","ANPEP","HMGCR","SERTM2","LRRC7","IRF4","SLC45A2","VASN","TMEM171","RNASE1","TRIM63","EREG","PDLIM3","CST3","BIRC7","ALCAM","ALCAM","","MFSD12","CAMK1","AOX1","EBF3","SLCO2A1","STK40","CITED1","CDH2"
"9","MYBL2","TRPM1","MGP","PLAT","RAB27A","DHCR24","APTX","CD209L","FOSL1","CRISPLD2","CDK2","C5orf13","SNCA","BNC1","TMEM200A","CCNC","MIR211","ADAMTS15","ERBB3","PIR","UCP2","TGFBI","RAPGEF4","TRPM1","IL24","FRZB","SEMA5A","C10orf90","ALPK2","ALPK2","","LGALS3","TBX3","APBA3","IFITM1","ADRA1D","GPHN","CLCN7","COL5A1"
"10","CDC25B","EDNRB","VEGFA","TMEM176B","SLC6A15","PRDX6","ATM","CD28","SERPINE1","CYR61","CDK5R1","RP11-511B7 ","ST3GAL6","CCDC80","ADAMTS12","TANC1","GYG2P1","ANGPTL7","CDH1","TBC1D16","GALNT6","TGFA","PCDH7","TTC39A","MAG1","PHACTR3","LGI3","CA14","AMOTL2","AMOTL2","","APOE","HEG1","APOL3","SH2D4A","PSG5","HECTD2","D4S234E","CTGF"
"11","FOXM1","KIT","LOX","COL1A1","SEMA3C","RPN2","ATR","CDC34","IGFBP3","DPYD","CEACAM1","PLAUR","TRIM63 ","CFB","F2RL2","TRAK2","TRPM1","NGF","GPNMB","ZFYVE16","TNFAIP2","TFAP2C","PRSS33","TSPAN10","BEX1","PDLIM4","HPGD","CABLES1","ANGPT1","ANGPT1","","GPM6B","PDE3A","ASPHD1","LRRTM4","SYNDIG1","SLC35B4","DCT","CXCL2"
"12","GMNN","SLC45A2","FGF1","CNN3","TYR","ACAT2","ATRX","CDC45L","TNFRSF12A","EFEMP1","DAPK1","RP11-467E3 ","PSCA","CLU","IL1B","RPLP1","SLC5A10","SCRG1","IGSF11","RRAGD","TNFSF18","TSPAN13","PCSK6","SLC7A8","DKK1","PHGDH","HLA-C","CAPN3","ANTXR2","ANTXR2","","TSC22D3","ROR1","BCL3","SFRP1","PSG1","NDUFAF6","DKFZP434F0318","CYR61"
"13","TTK","FABP7","PDGFRB","ADGB","STX7","AMD1","BLM","CDC6","GBE1","EGFR","DCT","APOBEC3G","PEX13","COL13A1","RPS4Y1","BCL2L13","C11orf96","CCBE1","SLC24A5","PHACTR1","TMEM40","SQRDL","PLBD1","SLC16A6","IL8","NES","S100A6","CDK2","AOX1","AOX1","","SLC1A4","ANTXR2","BEX1","RP11-141M1.3","RP11-865I6.2","TMEM64","DSU","DKK1"
"14","KNG1","PMEL","IGFBP5","ATP1B2","DCT","ACSL3","BRCA1","CDC7","AXL","F2RL1","FAM174B","RP1-93H18 ","EDNRB","COL1A1","EREG","SGSM3","LINC01531","CRHBP","SLC45A2","GPR137B","TMEM200A","SULF1","NELL1","SLAMF7","SCG5","UACA","CALM1","CEACAM1","ARHGEF28","ARHGEF28","","B2M","ST8SIA2","BIRC2","HLA-DRA","FPR3","KLHL22","EDNRB","DKK3"
"15","CENPA","SLC24A5","ERRFI1","MATN2","C1QTNF3","ACSS2","BRCA2","CDK2","PHLDA2","FGF2","GALNT3","ACOX2","TIMP2","COL5A1","COL1A1","KCP","CCL18","B3GALT2","RAP2B","DCT","TMEM184A","ST8SIA5","NPR1","SEMA6A","IL13RA2","EIF5AL1","HLA-A","CHCHD10","ARL4C","ARL4C","","CLU","LDB2","BIRC3","XAF1","FENDRR","RP11-644F5.11","ERBB3","EGFR"
"16","CDC20","","PRDX1","SYT11","CD59","LDHA","CCNH","CDK2AP1","MAP1B","FLNB","GNPTAB","GBP1","INPP4B","COL5A2","SERPINB7","POPDC3","BTK","NPNT","ASAH1","TYRP1","TBL1X","SOX2","MCAM","RUNX3","IL1B","SHC4","CD99","CHCHD6","ARNTL2","ARNTL2","","CAPN3","NID2","BMP2","MAP10","VIT","PHLPP1","GALNT3","EHD2"
"17","STMN1","","TGFBI","ANXA1","ADRBK2","BAAT","CDKN1A","CENPE","GEM","FOXD1","GPM6B","TGFBI","SLC45A2","COL6A3","ADAMTSL1","TTL","SLC5A4","CXCL12","MYO10","ST3GAL6","TRERF1","SLC24A3","MMP15","RNF144B","NPTX2","PTN","CD59","CPVL","ATP8B1","ATP8B1","","TYR","HOXB3","BTBD16","ZNF662","IL1A","NPHP4","GK","ELL2"
"18","NEK2","","IL13RA2","LAMC1","PYGL","ALDH1A1","CDK7","CENPF","SLC22A4","FST","GPR143","JUN","RAB21","COLEC12","KDM5D","PTCD3","TMPRSS13","ADAMTSL1","GRN","CLCN7","TOX","SLITRK6","MAMDC2","RNLS","TMEFF2","TOX3","GMPR","CYP27A1","AXL","AXL","","TPPP3","SULT1E1","C10orf10","DDX43","COL8A1","SLC6A8","GMPR","F3"
"19","CENPF","","SOX4","GFRA3","GPR143","RRM1","CETN2","CHAF1A","TYMP","FZD2","GPRC5B","REPS2","S100B","CPA4","TXLNG2P","ATE1","DLL3","FLRT1","DOCK10","ASAH1","TBC1D2","SHISA2","LSAMP","RGS12","TNC","DAAM1","VAMP8","DCT","BASP1","BASP1","","DCT","AQP1","C15orf48","AC095067.1","SPANXC","YBX1P2","GPM6B","FBN1"
"20","ZWINT","","NES","RSPO3","HAGHL","TK1","CETN3","CHAF1B","TREM1","HEG1","GYG2","TSPAN5","PIR","CRIM1","GPR128","LMBRD1","DIPK1C","MARCHF4","ACSL3","SDCBP","SFN","SH3PXD2A","LRRTM4","PYCARD","NRP1","CECR2","PSAP","EDNRB","BDNF","BDNF","","HLA-B","RSPO3","C15orf52","TF","CDH6","C17orf76-AS1","GPR143","FGF2"
"21","DLGAP5","","LOXL2","GFRA1","BFAR","B3GNT2","CHAF1A","CHRAC1","RIN1","HS3ST3A1","HPS4","CTNNAL1","RAB38","CSF1","ALPK2","RSAD1","KRTAP19-1","FST","SORT1","GPM6B","SAMD12","SERTAD4","GDF11","PRUNE2","VEGFA","ARID5A","GSTP1","ERBB3","C12orf75","C12orf75","","QPCT","NGFR","SERTAD4-AS1","ACAN","TENM2","ADIPOR2","GPR56","FOXD1"
"22","TOP2A","","SPRY2","ADAMTS4","ESRP1","TYMS","CHAF1B","CHTF18","S100A4","ITGA2","INPP4B","MGLL","IFT81","CXCL1","SLC14A1","GGCT","LINC01091","THBS1","QPCT","GNPTAB","SAMD11","STK32B","FXYD3","PRKCB","TAC1","RUNX3","EMP1","FAM69B","CAV1","CAV1","","MLANA","LYPD1","C1QTNF1","SLC38A1","LINC00704","MTOR","GPRC5B","HNT"
"23","RAN","","CDH13","MPZ","ASAH1","ALDH1A3","CHEK1","CRYAB","COL6A2","ITGA3","IRF4","STK17A","ASAH1","CXCL2","VIPR1","WDR11","SLC6A17","AL589684.1","S100B","ITPKB","SOX9","SEMA3B","EBF3","PRDM7","CYP1B1","SLC12A5","S100A10","FCRLA","CCBE1","CCBE1","","LGI3","GLT8D2","C1R","RP11-474O21.5","TLL1","DPH2","GREB1","HS3ST3A1"
"24","CCNB1","","LMO4","GFRA2","MET","NDUFA4L2","CHEK2","CTBP1","FAM46A","KCNMA1","IVNS1ABP","SERPINE1","TNFRSF14","CXCL3","CDH13","RHBDD3","AC025871.1","CDH6","MYC","TFAP2A","SLC8A1","SFRP1","COL11A2","KCNAB2","PAQR5","CREB5","KIF1A","FMN1","CCDC80","CCDC80","","VAMP5","GREM2","C1S","SLC9A7","CACNG4","AHCYL1","GYG2","IL6"
"25","CDCA8","","RGS5","PRIMA1","TYRP1","NDUFA4","CIB1","CTBP2","CITED1","LOXL2","KAZ","INHBA","BCHE","DDAH1","PTGFR","ATP6V1E1","NECAB2","GREM1","LZTS1","SEMA6A","SLC38A4","S100A6","COL9A1","OCA2","EGR3","IGFBP3","ANXA2","GALNT3","CCL2","CCL2","","GMPR","SERTAD4","LINC00161","CARD16","RP5-1172A22.1","ATAD3A","INPP4B","IL8"
"26","CKAP2","","RGS16","A2M","VAT1","ENPP1","CKN1","CXCR6","S100A10","MYOF","MBP","NP","C6orf192","DKK1","PTX3","ABCC5","CDH1","TRABD2B","GYG2","CHKA","SLC16A14","RAMP1","CX3CL1","NR4A3","FLRT3","ERBB3","MLANA","GAS7","CDH13","CDH13","","PRELP","CDON","C3","MT1A","KISS1","NCAPH2","IRF4","INHBA"
"27","NUSAP1","","DLX1","NRXN1","TRIM2","RPE","CRY1","DEK","UCN2","NRP1","MICAL1","IGFBP6","CAPN3","DKK3","CPA4","TMEM33","KU-MEL-3","SHC2","SDCBP","TMCC2","SCN5A","PMEPA1","BCHE","NAV2","SLC20A1","FAM210B","CISD1","GJB1","CDH2","CDH2","","IGFBP7","RGS2","FDCSP","TM4SF1","ALPK2","ZCCHC17","ITPKB","KIAA1199"
"28","KIF11","","SLIT2","CADM1","PPARGC1A","","CRY2","DNTT","SPHK1","NTM","MITF","NFE2L3","D4S234E","DSE","SERPINE1","NDUFAF4","GAPDHS","OXTR","LOXL4","MREG","SCNN1A","PCSK5","ANO4","MYO1D","IGFBP3","TXNIP","PPIA","GPM6B","CFH","CFH","","HLA-H","ABI3BP","C5orf46","ZFP3","MEG3","SLC11A2","LZTS1","LCRISP2"
"29","CENPE","","GPC3","SLITRK6","FOXM1","","CSNK1D","DUT","TRIML2","NUAK1","MLANA","CYR61","SGCD","EDN1","CCL2","TCTN3","GNAL","CH25H","ETV5","IRF4","SH3RF2","PHLDA2","ALDH1A1","MAPK4","DUSP6","PLAT","RAB2A","GPR137B","CITED2","CITED2","","GPR155","ADAM12","C6orf58","IFITM3","NETO1","TRAPPC6A","MATP","LOX"
"30","PLK4","","ADM","THBS2","SLC29A1","","CSNK1E","ECGF1","S100A6","OSMR","MYO1D","AKR1C2 ","PROS1","EGFR","CCDC68","DDI2","CYP24A1","MEG3","C1orf85","TDRD7","SERPINB7","PLA2G7","","MAT1A","NT5E","CXXC5","ABCA1","GPR143","CLMP","CLMP","","CTSD","RBP1","FAM167A","CCDC8","VCAN","ULK3","MBP","LOXL2"
"31","KIF2C","","EDNRA","COL4A1","MLPH","","DCLRE1A","EGF","TMEM45A","PDGFC","NR4A3","NRP1","C1orf21","ELK3","NETO1","TAB3","AC091544.6","AL359764.2","HMCN1","SLC11A2","SLPI","OPRD1","","MLANA","SLC7A11","KCNQ1OT1","DBI","GYG2","CLU","CLU","","KIT","ARHGEF17","C8orf4","RAMP1","TMEM40","TYSND1","MITF","MICAL2"
