ID [IRI]	LABEL
http://purl.obolibrary.org/obo/CL_0000000	cell
http://purl.obolibrary.org/obo/CL_0000001	primary cultured cell
http://purl.obolibrary.org/obo/CL_0000005	neural crest derived fibroblast
http://purl.obolibrary.org/obo/CL_0000006	neuronal receptor cell
http://purl.obolibrary.org/obo/CL_0000007	early embryonic cell (metazoa)
http://purl.obolibrary.org/obo/CL_0000008	migratory cranial neural crest cell
http://purl.obolibrary.org/obo/CL_0000010	cultured cell
http://purl.obolibrary.org/obo/CL_0000011	migratory trunk neural crest cell
http://purl.obolibrary.org/obo/CL_0000014	germ line stem cell
http://purl.obolibrary.org/obo/CL_0000015	male germ cell
http://purl.obolibrary.org/obo/CL_0000016	male germ line stem cell
http://purl.obolibrary.org/obo/CL_0000017	spermatocyte
http://purl.obolibrary.org/obo/CL_0000018	spermatid
http://purl.obolibrary.org/obo/CL_0000019	sperm
http://purl.obolibrary.org/obo/CL_0000020	spermatogonium
http://purl.obolibrary.org/obo/CL_0000021	female germ cell
http://purl.obolibrary.org/obo/CL_0000022	female germ line stem cell
http://purl.obolibrary.org/obo/CL_0000023	oocyte
http://purl.obolibrary.org/obo/CL_0000024	oogonial cell
http://purl.obolibrary.org/obo/CL_0000025	egg cell
http://purl.obolibrary.org/obo/CL_0000027	smooth muscle cell neural crest derived
http://purl.obolibrary.org/obo/CL_0000029	neural crest derived neuron
http://purl.obolibrary.org/obo/CL_0000030	glioblast
http://purl.obolibrary.org/obo/CL_0000031	neuroblast (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000032	neuroplacodal cell
http://purl.obolibrary.org/obo/CL_0000033	apocrine cell
http://purl.obolibrary.org/obo/CL_0000034	stem cell
http://purl.obolibrary.org/obo/CL_0000035	single fate stem cell
http://purl.obolibrary.org/obo/CL_0000036	epithelial fate stem cell
http://purl.obolibrary.org/obo/CL_0000037	hematopoietic stem cell
http://purl.obolibrary.org/obo/CL_0000038	erythroid progenitor cell
http://purl.obolibrary.org/obo/CL_0000039	germ line cell
http://purl.obolibrary.org/obo/CL_0000040	monoblast
http://purl.obolibrary.org/obo/CL_0000041	mature eosinophil
http://purl.obolibrary.org/obo/CL_0000042	neutrophilic myeloblast
http://purl.obolibrary.org/obo/CL_0000043	mature basophil
http://purl.obolibrary.org/obo/CL_0000047	neural stem cell
http://purl.obolibrary.org/obo/CL_0000048	multi fate stem cell
http://purl.obolibrary.org/obo/CL_0000049	common myeloid progenitor
http://purl.obolibrary.org/obo/CL_0000050	megakaryocyte-erythroid progenitor cell
http://purl.obolibrary.org/obo/CL_0000051	common lymphoid progenitor
http://purl.obolibrary.org/obo/CL_0000052	totipotent stem cell
http://purl.obolibrary.org/obo/CL_0000056	myoblast
http://purl.obolibrary.org/obo/CL_0000057	fibroblast
http://purl.obolibrary.org/obo/CL_0000058	chondroblast
http://purl.obolibrary.org/obo/CL_0000059	ameloblast
http://purl.obolibrary.org/obo/CL_0000060	odontoblast
http://purl.obolibrary.org/obo/CL_0000061	cementoblast
http://purl.obolibrary.org/obo/CL_0000062	osteoblast
http://purl.obolibrary.org/obo/CL_0000064	ciliated cell
http://purl.obolibrary.org/obo/CL_0000065	ependymal cell
http://purl.obolibrary.org/obo/CL_0000066	epithelial cell
http://purl.obolibrary.org/obo/CL_0000067	ciliated epithelial cell
http://purl.obolibrary.org/obo/CL_0000068	duct epithelial cell
http://purl.obolibrary.org/obo/CL_0000069	branched duct epithelial cell
http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
http://purl.obolibrary.org/obo/CL_0000072	non-branched duct epithelial cell
http://purl.obolibrary.org/obo/CL_0000075	columnar/cuboidal epithelial cell
http://purl.obolibrary.org/obo/CL_0000076	squamous epithelial cell
http://purl.obolibrary.org/obo/CL_0000077	mesothelial cell
http://purl.obolibrary.org/obo/CL_0000078	peridermal cell
http://purl.obolibrary.org/obo/CL_0000079	stratified epithelial cell
http://purl.obolibrary.org/obo/CL_0000080	circulating cell
http://purl.obolibrary.org/obo/CL_0000081	blood cell
http://purl.obolibrary.org/obo/CL_0000082	epithelial cell of lung
http://purl.obolibrary.org/obo/CL_0000083	epithelial cell of pancreas
http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/CL_0000091	Kupffer cell
http://purl.obolibrary.org/obo/CL_0000092	osteoclast
http://purl.obolibrary.org/obo/CL_0000094	granulocyte
http://purl.obolibrary.org/obo/CL_0000095	neuron associated cell
http://purl.obolibrary.org/obo/CL_0000096	mature neutrophil
http://purl.obolibrary.org/obo/CL_0000097	mast cell
http://purl.obolibrary.org/obo/CL_0000098	sensory epithelial cell
http://purl.obolibrary.org/obo/CL_0000099	interneuron
http://purl.obolibrary.org/obo/CL_0000100	motor neuron
http://purl.obolibrary.org/obo/CL_0000101	sensory neuron
http://purl.obolibrary.org/obo/CL_0000102	polymodal neuron
http://purl.obolibrary.org/obo/CL_0000103	bipolar neuron
http://purl.obolibrary.org/obo/CL_0000104	multipolar neuron
http://purl.obolibrary.org/obo/CL_0000105	pseudounipolar neuron
http://purl.obolibrary.org/obo/CL_0000106	unipolar neuron
http://purl.obolibrary.org/obo/CL_0000107	autonomic neuron
http://purl.obolibrary.org/obo/CL_0000108	cholinergic neuron
http://purl.obolibrary.org/obo/CL_0000109	adrenergic neuron
http://purl.obolibrary.org/obo/CL_0000110	peptidergic neuron
http://purl.obolibrary.org/obo/CL_0000113	mononuclear phagocyte
http://purl.obolibrary.org/obo/CL_0000114	surface ectodermal cell
http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_0000116	pioneer neuron
http://purl.obolibrary.org/obo/CL_0000117	CNS neuron (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000118	basket cell
http://purl.obolibrary.org/obo/CL_0000119	cerebellar Golgi cell
http://purl.obolibrary.org/obo/CL_0000120	granule cell
http://purl.obolibrary.org/obo/CL_0000121	Purkinje cell
http://purl.obolibrary.org/obo/CL_0000122	stellate neuron
http://purl.obolibrary.org/obo/CL_0000123	neuron associated cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000125	glial cell
http://purl.obolibrary.org/obo/CL_0000126	macroglial cell
http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/CL_0000128	oligodendrocyte
http://purl.obolibrary.org/obo/CL_0000129	microglial cell
http://purl.obolibrary.org/obo/CL_0000131	gut endothelial cell
http://purl.obolibrary.org/obo/CL_0000132	corneal endothelial cell
http://purl.obolibrary.org/obo/CL_0000133	neurectodermal cell
http://purl.obolibrary.org/obo/CL_0000134	mesenchymal stem cell
http://purl.obolibrary.org/obo/CL_0000135	fibrocyte
http://purl.obolibrary.org/obo/CL_0000136	adipocyte
http://purl.obolibrary.org/obo/CL_0000137	osteocyte
http://purl.obolibrary.org/obo/CL_0000138	chondrocyte
http://purl.obolibrary.org/obo/CL_0000140	odontocyte
http://purl.obolibrary.org/obo/CL_0000141	cementocyte
http://purl.obolibrary.org/obo/CL_0000142	hyalocyte
http://purl.obolibrary.org/obo/CL_0000145	professional antigen presenting cell
http://purl.obolibrary.org/obo/CL_0000146	simple columnar epithelial cell
http://purl.obolibrary.org/obo/CL_0000147	pigment cell
http://purl.obolibrary.org/obo/CL_0000148	melanocyte
http://purl.obolibrary.org/obo/CL_0000149	visual pigment cell
http://purl.obolibrary.org/obo/CL_0000150	glandular secretory epithelial cell
http://purl.obolibrary.org/obo/CL_0000151	secretory cell
http://purl.obolibrary.org/obo/CL_0000152	exocrine cell
http://purl.obolibrary.org/obo/CL_0000153	glycosaminoglycan secreting cell
http://purl.obolibrary.org/obo/CL_0000154	protein secreting cell
http://purl.obolibrary.org/obo/CL_0000155	peptic cell
http://purl.obolibrary.org/obo/CL_0000157	surfactant secreting cell
http://purl.obolibrary.org/obo/CL_0000158	club cell
http://purl.obolibrary.org/obo/CL_0000159	seromucus secreting cell
http://purl.obolibrary.org/obo/CL_0000160	goblet cell
http://purl.obolibrary.org/obo/CL_0000162	parietal cell
http://purl.obolibrary.org/obo/CL_0000163	endocrine cell
http://purl.obolibrary.org/obo/CL_0000164	enteroendocrine cell
