p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,18.1572380634005,0.618,0.011,0,Macrophages,CD1C
0,17.3547250486799,0.781,0.06,0,Keratinocytes,DMKN
0,16.7698786635855,0.679,0.017,0,Keratinocytes,LGALS7B
0,16.7698445297143,0.8,0.035,0,Keratinocytes,LY6D
0,16.3474711615537,0.657,0.012,0,Macrophages,CLEC10A
0,16.3235253863389,0.926,0.123,0,Macrophages,HLA-DPA1
0,16.0074901298605,0.889,0.153,0,Keratinocytes,PERP
0,15.5795164545479,0.932,0.141,0,Macrophages,HLA-DRB1
0,15.3932065265785,0.916,0.044,0,Keratinocytes,KRT5
0,15.2720124898037,0.9,0.115,0,Macrophages,HLA-DPB1
3.81269600375115e-142,15.2234558301432,0.448,0.049,1.63831547281187e-138,Keratinocytes,FAM83C
0,15.2149357773864,0.694,0.054,0,Keratinocytes,KRT1
2.8633380463844e-265,15.0663451210611,0.465,0.049,1.23037635853138e-261,Keratinocytes,KRTDAP
0,14.9229882658722,0.97,0.131,0,Macrophages,HLA-DRA
0,14.7335167033361,0.593,0.053,0,Keratinocytes,KRT17
0,14.3914571939587,0.649,0.019,0,Macrophages,FCER1A
0,14.3609060785229,0.817,0.069,0,Macrophages,HLA-DQA1
0,14.3489186958375,0.705,0.023,0,Keratinocytes,KRT6A
0,14.2383327754713,0.837,0.023,0,Macrophages,LYZ
0,14.1215077517839,0.483,0.029,0,Keratinocytes,SBSN
0,13.9675529341262,0.736,0.025,0,Macrophages,LST1
2.35522920769525e-144,13.9165759358379,0.934,0.19,1.01204199054665e-140,Melanocytes ,CYB561A3
0,13.7819239250095,0.651,0.217,0,Keratinocytes,KRT10
0,13.7576042449131,0.562,0.029,0,Keratinocytes,FGFBP1
0,13.6866366215022,0.816,0.108,0,Macrophages,HLA-DQB1
0,13.5674738816177,0.363,0.011,0,Vascular endothelial cells,SOX17
8.91184403917152e-174,13.5650707620674,0.972,0.185,3.829419383632e-170,Melanocytes ,MFSD12
0,13.3485145210857,0.659,0.066,0,Macrophages,HLA-DMB
0,13.3131061051468,0.922,0.056,0,Keratinocytes,KRT14
1.64321997739071e-179,13.1896715620691,0.695,0.142,7.0609162428479e-176,Lymphatic endothelial cells,PPFIBP1
0,13.1187518137082,0.626,0.07,0,Fibroblasts,CFH
0,13.0561497468422,0.654,0.023,0,Keratinocytes,SERPINB5
0,13.0338335875668,0.63,0.035,0,Keratinocytes,TRIM29
6.8522516741151e-181,13.0309049600243,0.295,0.058,2.94441254436726e-177,Vascular endothelial cells,MED24
0,12.9759108819501,0.684,0.026,0,Keratinocytes,CXADR
0,12.9522742308823,0.673,0.016,0,Macrophages,MS4A6A
0,12.9093035875308,0.644,0.042,0,Fibroblasts,SFRP2
